tau_d,tau_q,lambda,top_question,top_utility,top_venture
0.85,0.7,0.5,q3,0.42500000000000004,79.0
0.85,0.7,0.75,q3,0.23750000000000004,79.0
0.85,0.7,1.0,q3,0.050000000000000044,79.0
0.85,0.75,0.25,q3,0.6125,79.0
0.85,0.75,0.5,q3,0.42500000000000004,79.0
0.85,0.75,0.75,q3,0.23750000000000004,79.0
0.85,0.75,1.0,q3,0.050000000000000044,79.0
0.85,0.8,0.25,q3,0.6125,79.0
0.85,0.8,0.5,q3,0.42500000000000004,79.0
0.85,0.8,0.75,q3,0.23750000000000004,79.0
0.85,0.8,1.0,q3,0.050000000000000044,79.0
0.85,0.85,0.25,q3,0.6125,79.0
0.85,0.85,0.5,q3,0.42500000000000004,79.0
0.85,0.85,0.75,q3,0.23750000000000004,79.0
0.85,0.85,1.0,q3,0.050000000000000044,79.0
